match_id;mode;hero;hero_deck;opponent;opponent_deck;coin;result
66214447;arena;Mage;;Paladin;;TRUE;win
66213601;arena;Mage;;Mage;;FALSE;win
66212271;arena;Mage;;Shaman;;FALSE;win
66210845;arena;Mage;;Priest;;TRUE;loss
66209251;arena;Mage;;Warrior;;TRUE;loss
66199294;ranked;Shaman;;Shaman;Jade;TRUE;win
66196913;ranked;Shaman;Jade;Rogue;Miracle;FALSE;win
66195831;ranked;Shaman;Jade;Rogue;;TRUE;win
66195240;ranked;Shaman;Jade;Druid;Jade;FALSE;win
66193301;ranked;Shaman;Jade;Warlock;Zoo;FALSE;win
66200509;ranked;Rogue;Miracle;Warlock;Reno;FALSE;win
66199070;ranked;Rogue;Miracle;Warrior;;TRUE;win
66198602;ranked;Rogue;;Rogue;Miracle;FALSE;win
66197925;ranked;Rogue;Miracle;Shaman;Aggro;FALSE;loss
66194593;ranked;Rogue;Miracle;Mage;Tempo;TRUE;win
66192456;ranked;Rogue;Miracle;Priest;Reno;FALSE;win
66190999;ranked;Rogue;Miracle;Shaman;Jade;TRUE;win
66188123;ranked;Warrior;;Shaman;Aggro;TRUE;win
66183536;ranked;Warrior;;Rogue;Miracle;FALSE;win
66182178;ranked;Warrior;;Priest;Dragon;TRUE;loss
66096746;ranked;Rogue;Miracle;Druid;;TRUE;loss
66096298;ranked;Rogue;Miracle;Druid;Jade;FALSE;win
66095933;ranked;Rogue;;Priest;Reno;TRUE;win
66095633;ranked;Rogue;Miracle;Warrior;Pirate;TRUE;loss
66094304;ranked;Warrior;;Shaman;;TRUE;win
66093858;ranked;Warrior;;Shaman;Jade;FALSE;win
66093324;ranked;Warrior;;Mage;Reno;FALSE;loss
66254773;ranked;Warrior;Pirate;Warlock;Reno;FALSE;win
66244807;friendly;Warrior;Pirate;Priest;;TRUE;win
66244394;ranked;Warrior;Pirate;Druid;Jade;FALSE;loss
66243883;ranked;Warrior;Pirate;Shaman;Aggro;TRUE;loss
66240440;ranked;Warrior;Pirate;Druid;Malygos;FALSE;loss
66239840;ranked;Warrior;Pirate;Warrior;Pirate;FALSE;loss
66235155;ranked;Warrior;Pirate;Shaman;;TRUE;loss
66234736;ranked;Warrior;Pirate;Warrior;Dragon;FALSE;loss
66234071;ranked;Warrior;Pirate;Hunter;Secret;TRUE;win
66233646;ranked;Warrior;Pirate;Warlock;Zoo;FALSE;win
66233370;ranked;Warrior;Pirate;Druid;;FALSE;win
66232917;ranked;Warrior;Pirate;Rogue;Miracle;TRUE;win
66232329;ranked;Warrior;Pirate;Rogue;;FALSE;win
66231885;ranked;Warrior;Pirate;Warrior;Dragon;FALSE;win
66231571;ranked;Warrior;Pirate;Druid;;TRUE;win
66249881;ranked;Warrior;Pirate;Druid;Jade;FALSE;win
66247820;ranked;Warrior;Pirate;Priest;Dragon;TRUE;loss
66247488;ranked;Warrior;Pirate;Rogue;Miracle;FALSE;win
66247038;ranked;Warrior;Pirate;Druid;Jade;TRUE;win
66246750;ranked;Warrior;Pirate;Druid;Jade;FALSE;loss
66246295;casual;Warlock;Zoo;Rogue;;TRUE;win
66246009;casual;Warlock;Zoo;Rogue;Miracle;FALSE;loss
66245703;casual;Warlock;Zoo;Warlock;;TRUE;loss
66245433;casual;Warlock;;Paladin;;FALSE;win
66245180;casual;Warlock;Zoo;Shaman;Jade;TRUE;loss
66244749;casual;Warlock;Zoo;Hunter;;FALSE;loss
66244235;casual;Warlock;;Mage;Reno;TRUE;loss
66243960;casual;Warlock;;Rogue;;TRUE;loss
66243409;casual;Warlock;Zoo;Priest;;FALSE;win
66243266;casual;Warlock;;Mage;Reno;TRUE;loss
66242979;casual;Warlock;Zoo;Paladin;Murloc;FALSE;win
66242711;casual;Warlock;Zoo;Druid;;TRUE;win
66242520;casual;Warlock;Reno;Priest;Reno;TRUE;loss
66242105;casual;Warlock;Zoo;Priest;;FALSE;loss
66241661;casual;Warlock;Zoo;Hunter;;FALSE;win
66241457;ranked;Warrior;Pirate;Mage;;FALSE;win
66241222;ranked;Warrior;Pirate;Druid;Jade;FALSE;loss
66240750;ranked;Warrior;Pirate;Shaman;Jade;TRUE;loss
66240278;ranked;Warrior;Pirate;Mage;Tempo;FALSE;loss
66239935;ranked;Warrior;Pirate;Mage;;TRUE;win
66239648;ranked;Warrior;;Warrior;;FALSE;win
66239529;ranked;Warrior;Pirate;Priest;Dragon;TRUE;loss
66239133;ranked;Warrior;Pirate;Druid;Jade;FALSE;win
66238788;ranked;Warrior;Pirate;Priest;Dragon;TRUE;loss
66238355;ranked;Warrior;Pirate;Priest;Dragon;FALSE;win
66238122;ranked;Warrior;Pirate;Rogue;;TRUE;win
66223048;ranked;Warrior;Pirate;Druid;Malygos;FALSE;loss
66222494;ranked;Warrior;Pirate;Priest;Reno;TRUE;loss
66221798;ranked;Warrior;Pirate;Warlock;Reno;TRUE;win
66221415;ranked;Warrior;Pirate;Shaman;Midrange;TRUE;loss
66220431;ranked;Warrior;Pirate;Druid;;FALSE;loss
66219977;ranked;Warrior;Pirate;Paladin;Murloc;TRUE;win
66219597;ranked;Warrior;Pirate;Warlock;;TRUE;loss
66219084;ranked;Warrior;Pirate;Shaman;Jade;TRUE;loss
66218604;ranked;Warrior;Pirate;Hunter;;TRUE;win
66217937;ranked;Warrior;Pirate;Priest;Dragon;TRUE;loss
66357356;ranked;Paladin;Murloc;Warrior;Pirate;TRUE;win
66356676;ranked;Paladin;Murloc;Druid;;FALSE;loss
66355618;ranked;Paladin;Murloc;Priest;Reno;FALSE;win
66354576;ranked;Paladin;;Priest;Reno;FALSE;loss
66353641;ranked;Paladin;Murloc;Warrior;Pirate;TRUE;win
66337859;ranked;Paladin;;Shaman;;TRUE;win
66336916;ranked;Paladin;Murloc;Warlock;Zoo;TRUE;loss
66336121;ranked;Paladin;;Druid;Jade;TRUE;win
66335343;ranked;Warlock;;Shaman;Jade;TRUE;loss
66334809;ranked;Paladin;Murloc;Warrior;Pirate;TRUE;loss
66333698;ranked;Warlock;;Warrior;Pirate;TRUE;loss
66323352;ranked;Warlock;Reno;Shaman;Control;FALSE;win
66321545;ranked;Warlock;Reno;Priest;Reno;TRUE;win
66318345;ranked;Mage;Freeze;Mage;Reno;TRUE;loss
66316165;ranked;Mage;Freeze;Shaman;Jade;TRUE;win
66313849;ranked;Mage;Freeze;Mage;Reno;TRUE;loss
66311594;ranked;Paladin;Murloc;Priest;Dragon;TRUE;loss
66310129;ranked;Mage;Freeze;Warrior;;FALSE;win
66307754;ranked;Mage;Freeze;Warrior;Pirate;FALSE;win
66306271;ranked;Mage;Freeze;Shaman;Jade;TRUE;win
66304674;ranked;Warlock;Reno;Shaman;Jade;FALSE;loss
66302302;ranked;Mage;Freeze;Shaman;Aggro;FALSE;loss
66299264;ranked;Mage;Freeze;Warrior;;FALSE;win
66297823;ranked;Mage;Freeze;Warrior;;FALSE;loss
66295592;ranked;Mage;Freeze;Paladin;Murloc;TRUE;win
66294633;ranked;Mage;Freeze;Warrior;Dragon;FALSE;loss
66293326;ranked;Mage;Freeze;Paladin;Murloc;FALSE;loss
66292081;ranked;Mage;Freeze;Priest;;TRUE;win
66290685;ranked;Mage;Freeze;Druid;;FALSE;loss
66288981;ranked;Mage;Freeze;Shaman;Jade;TRUE;win
66236460;ranked;Mage;Freeze;Warlock;Zoo;FALSE;win
66235908;ranked;Mage;Freeze;Mage;Reno;FALSE;loss
66235032;ranked;Mage;Freeze;Druid;;FALSE;win
66234346;ranked;Mage;Freeze;Priest;Reno;FALSE;win
66233933;ranked;Mage;Freeze;Hunter;Midrange;TRUE;loss
66231133;ranked;Mage;Freeze;Warrior;Control;FALSE;loss
66230310;ranked;Mage;Freeze;Mage;Reno;TRUE;win
66229633;ranked;Mage;Freeze;Shaman;Control;FALSE;loss
66228946;ranked;Mage;Freeze;Warrior;Pirate;TRUE;win
66228166;ranked;Priest;Reno;Shaman;Jade;FALSE;loss
66225962;ranked;Priest;Reno;Priest;Dragon;TRUE;loss
66224620;ranked;Priest;Reno;Shaman;Control;FALSE;loss
66223986;ranked;Priest;Reno;Warlock;Reno;FALSE;win
66223210;ranked;Priest;Reno;Priest;;FALSE;win
66222233;ranked;Priest;;Priest;Dragon;FALSE;loss
66221590;ranked;Priest;Reno;Shaman;Midrange;TRUE;win
66220813;ranked;Priest;Reno;Mage;Reno;FALSE;loss
66219311;ranked;Priest;Reno;Warrior;Pirate;TRUE;win
66218530;ranked;Priest;Reno;Paladin;Murloc;FALSE;win
66312420;friendly;Mage;Reno;Shaman;Jade;FALSE;loss
66309824;friendly;Mage;;Warrior;Pirate;FALSE;loss
66308144;ranked;Shaman;;Warlock;Reno;FALSE;loss
66304143;ranked;Shaman;Aggro;Shaman;Midrange;TRUE;win
66303488;ranked;Shaman;Aggro;Priest;;FALSE;win
66311099;casual;Warrior;;Paladin;;FALSE;loss
66309941;casual;Rogue;;Hunter;;TRUE;win
66308797;ranked;Warrior;Pirate;Mage;Reno;FALSE;loss
66308063;ranked;Warrior;Pirate;Druid;;TRUE;win
66307251;ranked;Druid;Jade;Druid;Jade;TRUE;win
66306236;ranked;Druid;Jade;Mage;;FALSE;win
66305490;ranked;Druid;Jade;Mage;Tempo;TRUE;loss
66303998;ranked;Druid;;Mage;Tempo;TRUE;loss
66303445;ranked;Druid;Jade;Warrior;;FALSE;loss
66330290;ranked;Hunter;Secret;Hunter;Secret;TRUE;win
66329449;ranked;Shaman;Aggro;Paladin;;FALSE;win
66328679;ranked;Shaman;Aggro;Druid;Jade;TRUE;win
66327705;ranked;Shaman;Jade;Hunter;;FALSE;loss
66339580;ranked;Shaman;Jade;Mage;Reno;TRUE;loss
66317303;ranked;Shaman;;Hunter;;TRUE;win
66316319;ranked;Shaman;Jade;Priest;;TRUE;win
66314101;ranked;Shaman;Jade;Hunter;;TRUE;win
66309254;ranked;Shaman;Jade;Shaman;Jade;TRUE;win
66307453;ranked;Shaman;Jade;Shaman;Aggro;TRUE;win
66305765;ranked;Shaman;Jade;Priest;Reno;FALSE;win
66337288;ranked;Priest;Dragon;Hunter;;FALSE;win
66336158;ranked;Priest;Dragon;Shaman;Jade;TRUE;win
66334284;ranked;Priest;Dragon;Priest;Dragon;TRUE;win
66333076;ranked;Priest;Dragon;Mage;Reno;TRUE;loss
66331108;ranked;Shaman;Jade;Shaman;Jade;FALSE;loss
66330311;ranked;Shaman;Midrange;Shaman;Jade;FALSE;loss
66329596;ranked;Warrior;Pirate;Warrior;Pirate;TRUE;loss
66328882;ranked;Warrior;Pirate;Priest;Dragon;FALSE;loss
66327382;ranked;Warrior;Pirate;Priest;Reno;FALSE;win
66326373;ranked;Warrior;Pirate;Druid;;TRUE;win
66325902;ranked;Warrior;Pirate;Druid;Jade;FALSE;loss
66325017;ranked;Warrior;Pirate;Shaman;Jade;TRUE;win
66324362;ranked;Warrior;Pirate;Shaman;Jade;FALSE;loss
